"VEHICLE_HAL_ID";"VEHICLE_MODEL_TYPE";"VEHICLE_MANUFACTURER_NAME";"VEHICLE_MODEL_NAME";"VEHICLE_TYPE_NAME";"VIN";"REGISTRATION_PLATE";"SERIAL_NUMBER";"KW";"FUEL_TYPE_NAME";"OWNERSHIP_TYPE";"CAPACITY_AMOUNT";"ACCESS_CONTROL_COMPONENT_TYPE";"COMPANY";"COMPANY_GROUP"
"106966";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0967";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"109104";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"3105";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"109108";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"3109";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"109114";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"3115";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"119218";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"7867";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"109089";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"3090";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"109100";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3101";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"109109";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3110";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"117541";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7565";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"109095";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"3096";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"165828";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"12333";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"165834";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"12339";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"165851";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"12356";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164195";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10701";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164219";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10725";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"117467";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"7491";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"117474";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"7498";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"111048";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5049";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"111049";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5050";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106939";"Fahrrad";"Biketec";"Konrad-Look";"Konrad";"";"";"0940";"";"";"Kauf";"";"CAB 2.0";"Konrad";"Call a Bike"
"106971";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0972";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"108969";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"2970";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"108973";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"2974";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"109075";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"3076";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"109105";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3106";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"117516";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7540";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"117522";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7546";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"117547";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7571";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"111075";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5076";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"109098";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"3099";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"109099";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3100";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"109106";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3107";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"119215";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"7864";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"109111";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3112";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"119106";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"7755";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"119107";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"7756";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"119220";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"7869";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"111087";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"5088";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"111094";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5095";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164237";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10743";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164257";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10763";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"117489";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7513";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"117499";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7523";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"164221";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10727";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164229";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10735";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164262";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10768";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164268";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10774";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"111045";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5046";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"111052";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5053";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164259";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10765";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164382";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10888";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"143870";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"9988";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"111059";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5060";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"111061";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5062";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"111062";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5063";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"111067";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5068";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"111071";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5072";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"111072";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"5073";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"106917";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0918";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"108925";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"2926";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"108927";"Fahrrad";"Biketec";"Pedelec";"Pedelec";"";"";"2928";"";"";"Kauf";"";"CAB 2.0";"Call a Bike";"Call a Bike"
"164274";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10780";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164387";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10893";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164398";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10904";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"164406";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10912";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"109087";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"3088";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"109090";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"3091";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"109092";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3093";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"109107";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3108";"";"";"Kauf";"";"CAB 4.0";"Call a Bike";"Call a Bike"
"143737";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"9855";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"143748";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"9866";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"143749";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"9867";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"163526";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10032";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"165831";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"12336";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"165840";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"12345";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"165855";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"12360";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"109110";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3111";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"163529";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10035";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"163546";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10052";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"163551";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"10057";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"109082";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"3083";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
