RENTAL_ZONE_HAL_ID,RENTAL_ZONE_HAL_SRC,NAME,CODE,TYPE,CITY,COUNTRY,LATITUDE,LONGITUDE,POI_AIRPORT_X,POI_LONG_DISTANCE_TRAINS_X,POI_SUBURBAN_TRAINS_X,POI_UNDERGROUND_X,ACTIVE_X,COMPANY,COMPANY_GROUP
4612,Standort,Z├╝lpicher Platz/Friedrichstr.,40027905,normal,K├Čln,Deutschland,"6,939332934200000","50,930237905400000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
4613,Standort,Z├╝lpicher Platz/Friedrichstr.,40027906,normal,K├Čln,Deutschland,"6,939332934200000","50,930237905400000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
4664,Standort,Mediapark,40028333,normal,K├Čln,Deutschland,"6,942899402100000","50,946266014500000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
4682,Standort,The Coffee Store,40028456,normal,K├Čln,Deutschland,"6,952250420600000","50,939732973000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
4793,Standort,Eigelstein/Ebertplatz,40029392,normal,K├Čln,Deutschland,"6,956334021100000","50,950296114100000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
4831,Standort,Friesenplatz,40018591,normal,K├Čln,Deutschland,"6,937831691600000","50,940359371200000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
4870,Standort,Friesenplatz,40018923,normal,K├Čln,Deutschland,"6,940042141000000","50,940523807000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
4908,Standort,Rudolfplatz,40019189,normal,K├Čln,Deutschland,"6,938954316000000","50,936378631400000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6188,Standort,Z├╝lpicher Platz/Friedrichstr.,40023112,normal,K├Čln,Deutschland,"6,941011210000000","50,930558251000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6280,Standort,Bahnhof Haupt- Breslauer Platz,40023820,normal,K├Čln,Deutschland,"6,960443189700000","50,943532231100000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6498,Standort,Chlodwigplatz,40025634,normal,K├Čln,Deutschland,"6,959266187700000","50,921024433600000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
6572,Standort,Bahnhof S├╝d,40026126,normal,K├Čln,Deutschland,"6,938814998800000","50,926435570300000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
